Model Output,Taxa,Source,SiteCode,Site,Pair ,SiteType,PairID,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
NA,All,SAV/Algae,TR,Tule Red,P3,Res,P3_Res,0.097,0.084,0.006,0.01,0.033,0.072,0.138,0.263,0.312
NA,All,SAV/Algae,TR,Tule Red,P3,Res,P3_Res,0.129,0.085,0.014,0.02,0.062,0.114,0.18,0.289,0.332
NA,All,SAV/Algae,TR,Tule Red,P3,Res,P3_Res,0.176,0.126,0.011,0.017,0.072,0.153,0.257,0.418,0.46
NA,All,Emergent,WH,Wheeler,P2,Res,P2_Res,0.058,0.06,0.001,0.003,0.016,0.039,0.078,0.177,0.222
NA,All,Emergent,WH,Wheeler,P2,Res,P2_Res,0.077,0.097,0.001,0.001,0.01,0.037,0.11,0.283,0.335
NA,All,Emergent,WH,Wheeler,P2,Res,P2_Res,0.043,0.053,0.001,0.001,0.008,0.023,0.055,0.155,0.203
NA,All,Emergent,WH,Wheeler,P2,Res,P2_Res,0.045,0.054,0.001,0.001,0.008,0.024,0.06,0.161,0.195
NA,All,Emergent,WH,Wheeler,P2,Res,P2_Res,0.055,0.079,0.001,0.001,0.008,0.026,0.071,0.206,0.28
NA,All,Emergent,WH,Wheeler,P2,Res,P2_Res,0.056,0.08,0.001,0.001,0.009,0.027,0.07,0.222,0.293
NA,All,Emergent,WH,Wheeler,P2,Res,P2_Res,0.054,0.072,0.001,0.001,0.008,0.027,0.071,0.206,0.265
NA,All,Emergent,WH,Wheeler,P2,Res,P2_Res,0.056,0.072,0.001,0.001,0.009,0.028,0.071,0.208,0.265
NA,All,FAV,WH,Wheeler,P2,Res,P2_Res,0.02,0.023,0,0.001,0.005,0.013,0.026,0.066,0.082
NA,All,FAV,WH,Wheeler,P2,Res,P2_Res,0.023,0.031,0,0,0.003,0.011,0.03,0.091,0.117
NA,All,FAV,WH,Wheeler,P2,Res,P2_Res,0.014,0.018,0,0,0.003,0.008,0.019,0.052,0.065
NA,All,FAV,WH,Wheeler,P2,Res,P2_Res,0.016,0.021,0,0,0.002,0.008,0.02,0.059,0.079
NA,All,FAV,WH,Wheeler,P2,Res,P2_Res,0.019,0.027,0,0,0.003,0.009,0.023,0.072,0.096
NA,All,FAV,WH,Wheeler,P2,Res,P2_Res,0.019,0.027,0,0,0.003,0.009,0.025,0.074,0.096
NA,All,FAV,WH,Wheeler,P2,Res,P2_Res,0.018,0.024,0,0,0.003,0.009,0.024,0.068,0.089
NA,All,FAV,WH,Wheeler,P2,Res,P2_Res,0.016,0.021,0,0,0.003,0.008,0.021,0.059,0.08
NA,All,Phyto,WH,Wheeler,P2,Res,P2_Res,0.448,0.088,0.275,0.303,0.389,0.448,0.508,0.591,0.618
NA,All,Phyto,WH,Wheeler,P2,Res,P2_Res,0.729,0.084,0.527,0.574,0.687,0.742,0.785,0.842,0.859
NA,All,Phyto,WH,Wheeler,P2,Res,P2_Res,0.31,0.058,0.184,0.212,0.277,0.313,0.349,0.395,0.411
NA,All,Phyto,WH,Wheeler,P2,Res,P2_Res,0.197,0.056,0.078,0.099,0.161,0.199,0.235,0.285,0.301
NA,All,Phyto,WH,Wheeler,P2,Res,P2_Res,0.366,0.116,0.136,0.175,0.292,0.367,0.442,0.553,0.589
NA,All,Phyto,WH,Wheeler,P2,Res,P2_Res,0.475,0.089,0.277,0.323,0.425,0.481,0.532,0.607,0.632
NA,All,Phyto,WH,Wheeler,P2,Res,P2_Res,0.628,0.073,0.461,0.502,0.587,0.634,0.676,0.736,0.757
NA,All,Phyto,WH,Wheeler,P2,Res,P2_Res,0.384,0.065,0.24,0.273,0.347,0.389,0.426,0.48,0.498
NA,All,SAV/Algae,WH,Wheeler,P2,Res,P2_Res,0.474,0.084,0.307,0.33,0.418,0.474,0.533,0.612,0.633
NA,All,SAV/Algae,WH,Wheeler,P2,Res,P2_Res,0.171,0.058,0.057,0.073,0.132,0.171,0.21,0.265,0.283
NA,All,SAV/Algae,WH,Wheeler,P2,Res,P2_Res,0.633,0.053,0.526,0.544,0.597,0.635,0.67,0.718,0.736
NA,All,SAV/Algae,WH,Wheeler,P2,Res,P2_Res,0.743,0.058,0.621,0.643,0.707,0.745,0.782,0.835,0.851
NA,All,SAV/Algae,WH,Wheeler,P2,Res,P2_Res,0.56,0.118,0.309,0.365,0.484,0.562,0.64,0.747,0.784
NA,All,SAV/Algae,WH,Wheeler,P2,Res,P2_Res,0.449,0.08,0.284,0.311,0.398,0.453,0.504,0.572,0.595
NA,All,SAV/Algae,WH,Wheeler,P2,Res,P2_Res,0.3,0.063,0.172,0.194,0.258,0.301,0.342,0.401,0.422
NA,All,SAV/Algae,WH,Wheeler,P2,Res,P2_Res,0.544,0.061,0.419,0.441,0.505,0.547,0.585,0.641,0.66
